scenario_id,policy_type,seed,or_index,coordination_success,episode_return,episode_length
cramped_room_h400_baseline_gpu,ppo_50k,3,-0.026359878213258803,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_50k,4,-0.01949330217670142,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_50k,5,-0.01730469550718783,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_50k,6,-0.023245122515071825,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_50k,7,-0.05929326537901092,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_50k,8,-0.05977746078569823,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_50k,9,-0.0449296517646961,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_50k,10,-0.03630260558701226,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_50k,11,0.040175233699016655,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_50k,12,-0.016885882981151457,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_50k,13,0.05898468823428993,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_50k,14,-0.018230870716757108,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_50k,15,-0.03206048404177808,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_50k,16,0.005343861471772238,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_50k,17,-0.032156094103170996,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_50k,18,-0.04142044369149722,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_50k,19,-0.15382707716776978,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_50k,20,-0.01886011784350472,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_50k,21,-0.05819261708577983,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_50k,22,-0.0785514826480781,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_50k,23,-0.07475179883277627,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_50k,24,-0.05144510715355621,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_50k,25,-0.06901890425174595,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_50k,26,-0.09396940531642883,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_50k,27,-0.05082824530581653,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_50k,28,-0.0030536732275996403,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_50k,29,-0.05091443355701508,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_200k,0,0.0023563494270895102,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_200k,1,-0.019344570835818087,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_200k,2,-0.04496865853975307,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_200k,3,-0.05001301401025382,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_200k,4,-0.007709260581133304,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_200k,5,0.011808327740828961,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_200k,6,0.020239647878127265,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_200k,7,-0.03230339920947389,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_200k,8,-0.020803811861535237,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_200k,9,-0.0046571085000532975,0.0,0.0,400
